playername,TRB,AST,STL,BLK,PTS,fame,now,WS,MP
Robin Lopez,3468.0,429.0,164.0,796.0,5483.0,0,1,4.24444444444,14353.0
Kevin Love,6612.0,1368.0,404.0,275.0,10593.0,0,1,7.84444444444,18774.0
JaVale McGee,3022.0,189.0,219.0,930.0,4663.0,0,1,2.13076923077,10507.0
Derrick Rose,1735.0,2799.0,372.0,172.0,9155.0,0,1,4.3,16292.0
Marreese Speights,3128.0,469.0,205.0,387.0,5848.0,0,1,2.54545454545,11265.0
Anthony Tolliver,2392.0,616.0,256.0,209.0,4226.0,0,1,1.85384615385,13249.0
Russell Westbrook,4149.0,5293.0,1154.0,197.0,15156.0,0,1,8.86666666667,22786.0
DeMarre Carroll,1632.0,491.0,439.0,108.0,3453.0,0,1,1.88333333333,9900.0
Omri Casspi,2152.0,622.0,347.0,109.0,4302.0,0,1,1.50909090909,11342.0
Darren Collison,1476.0,2716.0,617.0,82.0,7149.0,0,1,4.425,16635.0
Dante Cunningham,2467.0,450.0,447.0,336.0,4004.0,0,1,2.24,14022.0
Stephen Curry,2502.0,3916.0,1029.0,121.0,13088.0,0,1,10.5375,19897.0
DeMar DeRozan,2424.0,1661.0,570.0,163.0,11456.0,0,1,5.55,20275.0
Wayne Ellington,1258.0,664.0,296.0,37.0,4483.0,0,1,1.39,12043.0
Tyreke Evans,2391.0,2541.0,654.0,196.0,8042.0,0,1,2.46,16021.0
Taj Gibson,4176.0,650.0,351.0,777.0,6333.0,0,1,4.17,16646.0
Danny Green,1603.0,761.0,474.0,374.0,4155.0,0,1,3.7875,11762.0
James Harden,3093.0,3526.0,904.0,274.0,13618.0,0,1,11.4,20688.0
Jrue Holiday,1800.0,3147.0,732.0,197.0,7191.0,0,1,3.3125,16257.0
Serge Ibaka,4951.0,459.0,306.0,1548.0,8400.0,0,1,5.78,19943.0
Jonas Jerebko,2271.0,458.0,317.0,141.0,3479.0,0,1,2.5,10201.0
James Johnson,1773.0,955.0,400.0,497.0,3840.0,0,1,1.76,10177.0
Wesley Matthews,1872.0,1272.0,660.0,114.0,8257.0,0,1,5.3125,19357.0
Jodie Meeks,1081.0,544.0,401.0,36.0,4731.0,0,1,2.28,11606.0
Patty Mills,675.0,957.0,283.0,26.0,3464.0,0,1,2.5,7482.0
Jeff Teague,1445.0,3310.0,713.0,205.0,7545.0,0,1,5.1625,16175.0
Garrett Temple,784.0,658.0,328.0,107.0,2078.0,0,1,0.6,7336.0
Cole Aldrich,1236.0,189.0,140.0,255.0,1138.0,0,1,1.13333333333,3728.0
Al-Farouq Aminu,2948.0,639.0,494.0,307.0,3766.0,0,1,2.5,12520.0
Omer Asik,3315.0,277.0,165.0,335.0,2457.0,0,1,2.98571428571,9034.0
Luke Babbitt,751.0,193.0,82.0,51.0,1559.0,0,1,0.885714285714,4617.0
Eric Bledsoe,1583.0,1924.0,583.0,204.0,5480.0,0,1,3.31428571429,11309.0
Trevor Booker,2613.0,484.0,328.0,256.0,3251.0,0,1,3.31428571429,9714.0
Avery Bradley,1264.0,702.0,446.0,87.0,5008.0,0,1,2.07142857143,11619.0
DeMarcus Cousins,6067.0,1800.0,786.0,668.0,12250.0,0,1,4.94444444444,18035.0
Jordan Crawford,1196.0,1493.0,320.0,37.0,5593.0,0,1,0.927272727273,11385.0
Ed Davis,3522.0,462.0,293.0,535.0,3901.0,0,1,4.0,11667.0
Derrick Favors,3847.0,549.0,417.0,693.0,6012.0,0,1,4.04444444444,13883.0
Paul George,2816.0,1419.0,738.0,194.0,8090.0,0,1,6.35714285714,14692.0
Blake Griffin,4423.0,1954.0,455.0,269.0,10117.0,0,1,8.9,16567.0
Gordon Hayward,2148.0,1762.0,527.0,215.0,8077.0,0,1,6.15714285714,16164.0
Wesley Johnson,1636.0,561.0,378.0,328.0,3704.0,0,1,1.28571428571,11452.0
Jeremy Lin,1159.0,1807.0,471.0,162.0,4842.0,0,1,3.04285714286,10757.0
Greg Monroe,4707.0,1216.0,614.0,332.0,7572.0,0,1,6.47142857143,15955.0
Timofey Mozgov,2839.0,309.0,182.0,492.0,3889.0,0,1,2.15454545455,10391.0
